"name"	"sku"	"description"	"category1"	"category2"	"category3"	"image"	"weight"	"price"	"quantity"	"enabled"	"shipping_freight"	"fixed_shipping_rate_only"
"Блинница Ariete Baby 181"	"92"	"<p>Мощность 900 Вт. Индикатор температуры. Контейнер для теста. Готовым блинчикам можно придать форму Микки Мауса специальной формочкой.</p>"	"Бытовая техника для кухни"	""	""	"http://demo.mydataprovider.com/market/img/p/92-162.jpg"		"60.00"		"yes"	"0.00"	"no"
"Аппарат для пончиков Daewoo DI 8102"	"93"	"<p>Аппарат предназначен для приготовления пончиков традиционной (кольцеобразной) формы. Индикатор включения и готовности. Антипригарное покрытие. Регулировка температуры.</p>"	"Бытовая техника для кухни"	""	""	"http://demo.mydataprovider.com/market/img/p/93-164.jpg"		"35.00"		"yes"	"0.00"	"no"
"Автокресло Bebe Confort Opal"	"94"	"<p>Автокресло с поворотным сиденьем для более продолжительного использования. Переустановка положений происходит одним движением руки, вращением автокресла на своем основании. Сиденье подходит для двух групп: 0+ - спиной к дороге и 1 - лицом к дороге. Боковая защита Safe Side предохраняет голову малыша при боковых столкновениях. Внутренние 5-точечные ремни безопасности быстро и удобно регулируются по росту ребенка. Размеры: ширина регулируется от 40 до 50 см. Высота регулируется от 60 до 76 см. Варианты цвета: Total Black, Intense Red, Deep Blue, Brown Earth, Steel Gray, Marble Pink, Dark Olive.</p>"	"Детские товары"	""	""	"http://demo.mydataprovider.com/market/img/p/94-165.jpg"		"483.00"		"yes"	"0.00"	"no"
"Детские качели GRACO Sweetpeace"	"95"	"<p>Детские качели для детей с рождения. Качели копируют движение при укачивании ребёнка на руках (в трёх разных направлениях), три положения спинки, 6 скоростей, съёмное сидение, набор различных мелодий и возможность подключения МР3 плеера, две скорости вибрации, ремни безопасности, регулируемый капор.</p>"	"Детские товары"	""	""	"http://demo.mydataprovider.com/market/img/p/95-172.jpg"		"348.00"		"yes"	"0.00"	"no"
"Цифровой видеомонитор Philips AVENT SCD60000"	"96"	"<p>Автоматический выбор канала для конфиденциального соединения. Система инфракрасного ночного видения для круглосуточного наблюдения. Успокаивающие колыбельные и ночник. Высокое разрешение, цветной экран 61 мм. Беспроводной портативный родительский блок. Цифровое подтверждение сигнала и световая индикация уровня звука. Автоматическое включение экрана с регуляторами яркости и звука. Родительский блок на аккумуляторах. Диапазон действия: 150 м. Клипса для крепления к поясу.</p>"	"Детские товары"	""	""	"http://demo.mydataprovider.com/market/img/p/96-173.jpg"		"350.00"		"yes"	"0.00"	"no"
"Стульчик для кормления Peg-Perego Prima Pappa Best"	"97"	"<p>Стульчик раcсчитан на малыша до трех лет. Моющееся сидение изготовлено из кожа заменителя, корпус пластмассовый, регулируемая подножка, стопора на колесах, большая устойчивость. Пятиточечные ремни безопасности и анатомическая вставка для разделения ног удерживают ребенка в надежном и безопасном положении.</p>"	"Детские товары"	""	""	"http://demo.mydataprovider.com/market/img/p/97-174.jpg"		"306.00"		"yes"	"0.00"	"no"
"Гладильная доска Metalnova Domino Plus"	"98"	"<p>Компактная, устойчивая гладильная доска с регулировкой высоты гладильной платформы до восьми положений. Имеет твердую гладильную платформу из огнеупорного материала, на которую одевается влагоустойчивый и жаропрочный чехол. Ножки выполнены из хромированного металла. Рабочая поверхность: 114x36 см. Подставка для утюга. Вес:7 кг.</p>"	"Мебель и интерьер"	""	""	"http://demo.mydataprovider.com/market/img/p/98-179.jpg"		"134.00"		"yes"	"0.00"	"no"
"Лампы АРО Голден S"	"99"	"<p>Лампы АРО Голден S. Отличное решение для создания непринужденной и уютной обстановки в Вашем доме. Размеры: Большой лампы (L): Высота - 143 см; Диаметр - 29 см Средней лампы (M): Высота - 115 см; Диаметр - 29 см Маленькой лампы (S): Высота - 83 см; Диаметр - 26 см Страна-производитель: Индонезия</p>"	"Мебель и интерьер"	""	""	"http://demo.mydataprovider.com/market/img/p/99-180.jpg"		"151.00"		"yes"	"0.00"	"no"
"Детектор проводки Bosch PDO Multi"	"100"	"<p>Цифровой детектор для обнаружения и локализации проводки, металлов (включая цветные) и деревянных внутренних конструкций. Функция «Zoom». Дисплей с высоким разрешением. Однозначное запрещение/разрешение сверления с помощью светодиодного индикатора. Автоматическая калибровка.</p>"	"Строительные инструменты"	""	""	"http://demo.mydataprovider.com/market/img/p/100-181.jpg"		"123.00"		"yes"	"0.00"	"no"
"Оптический нивелир Bosch GOL 20 D Professional"	"101"	"<p>Оптический нивелир с точность нивелирования 3 мм на 30 м. Рабочий диапазон: до 60 м. Оптимально подходит для использования вне помещений благодаря прочному корпусу с защитой от пыли и брызг IP 54. Светосильный объектив для чёткого захвата цели. Пентапризма для удобства считывания показаний сферического уровня. Коллиматор для грубого выравнивания. Вертикальное изображение. Большая кнопка фокусировки для простого выравнивания.Бесконечный микрометренный привод (измерение в гонах) с проскальзывающей муфтой.</p>"	"Строительные инструменты"	""	""	"http://demo.mydataprovider.com/market/img/p/101-182.jpg"		"285.00"		"yes"	"0.00"	"no"
"Краскораспылитель Bosch PFS 105 E"	"102"	"<p>Системы тонкого распыления с электронной регулировкой расхода воздуха для обработки больших объектов. Потребляемая мощность 350 Вт. Система плавной регулировки расхода краски. Сопло для распыления краски с 3 положениями. Рукоятка с мягкой накладкой. Длина шланга: 3.4 м.</p>"	"Строительные инструменты"	""	""	"http://demo.mydataprovider.com/market/img/p/102-186.jpg"		"220.00"		"yes"	"0.00"	"no"
