"cat";"num";"act ";"name";"prc";"brd";"shdesc";"desc";"mimg";"simg";"modim";"modis"
"Бытовая техника для кухни";"92";1;"Блинница Ariete Baby 181";"60.00";"";"<p>Мощность 900 Вт. Индикатор температуры. Контейнер для теста. Готовым блинчикам можно придать форму Микки Мауса специальной формочкой.</p>";"<p>Мощность 900 Вт. Индикатор температуры. Контейнер для теста. Готовым блинчикам можно придать форму Микки Мауса специальной формочкой.</p>";"92-162-thickbox.jpg";"92-162-thickbox.jpg";"92-162-thickbox.jpg";"92-162-thickbox.jpg"
"Бытовая техника для кухни";"93";1;"Аппарат для пончиков Daewoo DI 8102";"35.00";"";"<p>Аппарат предназначен для приготовления пончиков традиционной (кольцеобразной) формы.</p>";"<p>Аппарат предназначен для приготовления пончиков традиционной (кольцеобразной) формы. Индикатор включения и готовности. Антипригарное покрытие. Регулировка температуры.</p>";"93-164-thickbox.jpg";"93-164-thickbox.jpg";"93-164-thickbox.jpg";"93-164-thickbox.jpg"
"Детские товары";"94";1;"Автокресло Bebe Confort Opal";"483.00";"";"<p>Автокресло с поворотным сиденьем для более продолжительного использования.</p>";"<p>Автокресло с поворотным сиденьем для более продолжительного использования. Переустановка положений происходит одним движением руки, вращением автокресла на своем основании. Сиденье подходит для двух групп: 0+ - спиной к дороге и 1 - лицом к дороге. Боковая защита Safe Side предохраняет голову малыша при боковых столкновениях. Внутренние 5-точечные ремни безопасности быстро и удобно регулируются по росту ребенка. Размеры: ширина регулируется от 40 до 50 см. Высота регулируется от 60 до 76 см. Варианты цвета: Total Black, Intense Red, Deep Blue, Brown Earth, Steel Gray, Marble Pink, Dark Olive.</p>";"94-165-thickbox.jpg";"94-165-thickbox.jpg";"94-165-thickbox.jpg";"94-165-thickbox.jpg"
"Детские товары";"95";1;"Детские качели GRACO Sweetpeace";"348.00";"";"<p>Детские качели для детей с рождения.</p>";"<p>Детские качели для детей с рождения. Качели копируют движение при укачивании ребёнка на руках (в трёх разных направлениях), три положения спинки, 6 скоростей, съёмное сидение, набор различных мелодий и возможность подключения МР3 плеера, две скорости вибрации, ремни безопасности, регулируемый капор.</p>";"95-172-thickbox.jpg";"95-172-thickbox.jpg";"95-172-thickbox.jpg";"95-172-thickbox.jpg"
"Детские товары";"96";1;"Цифровой видеомонитор Philips AVENT SCD60000";"350.00";"";"<p>Автоматический выбор канала для конфиденциального соединения.</p>";"<p>Автоматический выбор канала для конфиденциального соединения. Система инфракрасного ночного видения для круглосуточного наблюдения. Успокаивающие колыбельные и ночник. Высокое разрешение, цветной экран 61 мм. Беспроводной портативный родительский блок. Цифровое подтверждение сигнала и световая индикация уровня звука. Автоматическое включение экрана с регуляторами яркости и звука. Родительский блок на аккумуляторах. Диапазон действия: 150 м. Клипса для крепления к поясу.</p>";"96-173-thickbox.jpg";"96-173-thickbox.jpg";"96-173-thickbox.jpg";"96-173-thickbox.jpg"
"Детские товары";"97";1;"Стульчик для кормления Peg-Perego Prima Pappa Best";"306.00";"";"<p>Стульчик раcсчитан на малыша до трех лет.</p>";"<p>Стульчик раcсчитан на малыша до трех лет. Моющееся сидение изготовлено из кожа заменителя, корпус пластмассовый, регулируемая подножка, стопора на колесах, большая устойчивость. Пятиточечные ремни безопасности и анатомическая вставка для разделения ног удерживают ребенка в надежном и безопасном положении.</p>";"97-174-thickbox.jpg";"97-174-thickbox.jpg";"97-174-thickbox.jpg";"97-174-thickbox.jpg"
"Мебель и интерьер";"98";1;"Гладильная доска Metalnova Domino Plus";"134.00";"";"<p>Компактная, устойчивая гладильная доска с регулировкой высоты гладильной платформы до восьми положений.</p>";"<p>Компактная, устойчивая гладильная доска с регулировкой высоты гладильной платформы до восьми положений. Имеет твердую гладильную платформу из огнеупорного материала, на которую одевается влагоустойчивый и жаропрочный чехол. Ножки выполнены из хромированного металла. Рабочая поверхность: 114x36 см. Подставка для утюга. Вес:7 кг.</p>";"98-179-thickbox.jpg";"98-179-thickbox.jpg";"98-179-thickbox.jpg";"98-179-thickbox.jpg"
"Мебель и интерьер";"99";1;"Лампы АРО Голден S";"151.00";"";"<p>Лампы АРО Голден S. Отличное решение для создания непринужденной и уютной обстановки в Вашем доме.</p>";"<p>Лампы АРО Голден S. Отличное решение для создания непринужденной и уютной обстановки в Вашем доме. Размеры: Большой лампы (L): Высота - 143 см; Диаметр - 29 см Средней лампы (M): Высота - 115 см; Диаметр - 29 см Маленькой лампы (S): Высота - 83 см; Диаметр - 26 см Страна-производитель: Индонезия</p>";"99-180-thickbox.jpg";"99-180-thickbox.jpg";"99-180-thickbox.jpg";"99-180-thickbox.jpg"
"Строительные инструменты";"100";1;"Детектор проводки Bosch PDO Multi";"123.00";"";"<p>Цифровой детектор для обнаружения и локализации проводки, металлов (включая цветные) и деревянных внутренних конструкций. Функция «Zoom».</p>";"<p>Цифровой детектор для обнаружения и локализации проводки, металлов (включая цветные) и деревянных внутренних конструкций. Функция «Zoom». Дисплей с высоким разрешением. Однозначное запрещение/разрешение сверления с помощью светодиодного индикатора. Автоматическая калибровка.</p>";"100-181-thickbox.jpg";"100-181-thickbox.jpg";"100-181-thickbox.jpg";"100-181-thickbox.jpg"
"Строительные инструменты";"101";1;"Оптический нивелир Bosch GOL 20 D Professional";"285.00";"";"<p>Оптический нивелир с точность нивелирования 3 мм на 30 м. Рабочий диапазон: до 60 м.</p>";"<p>Оптический нивелир с точность нивелирования 3 мм на 30 м. Рабочий диапазон: до 60 м. Оптимально подходит для использования вне помещений благодаря прочному корпусу с защитой от пыли и брызг IP 54. Светосильный объектив для чёткого захвата цели. Пентапризма для удобства считывания показаний сферического уровня. Коллиматор для грубого выравнивания. Вертикальное изображение. Большая кнопка фокусировки для простого выравнивания.Бесконечный микрометренный привод (измерение в гонах) с проскальзывающей муфтой.</p>";"101-182-thickbox.jpg";"101-182-thickbox.jpg";"101-182-thickbox.jpg";"101-182-thickbox.jpg"
