"v_products_id";"v_products_model";"v_products_page_url";"v_products_image";"v_products_name_1";"v_products_description_1";"v_products_short_description_1";"v_products_keywords_1";"v_products_url_1";"v_products_meta_title_1";"v_products_meta_description_1";"v_products_meta_keywords_1";"v_products_price";"v_products_weight";"v_date_avail";"v_date_added";"v_products_quantity";"v_products_sort";"v_manufacturers_name";"v_categories_name_1";"v_categories_name_2";"v_categories_name_3";"v_categories_name_4";"v_categories_name_5";"v_categories_name_6";"v_categories_name_7";"v_tax_class_title";"v_status";"v_action";"v_mo_image_1";"v_mo_image_2";"v_mo_image_3";"v_mo_image_4";"v_mo_image_5";"v_mo_image_6";"v_mo_image_7";"v_mo_image_8";"v_mo_image_9";"v_mo_image_10";"v_mo_image_11";"v_mo_image_12";"v_mo_image_13";"v_mo_image_14";"v_mo_image_15";"v_mo_image_16";"v_mo_image_17";"v_mo_image_18";"v_mo_image_19";"v_mo_image_20";"EOREOR"
"92";"1301139965";;"92-162-thickbox.jpg";"Блинница Ariete Baby 181";"<p>Мощность 900 Вт. Индикатор температуры. Контейнер для теста. Готовым блинчикам можно придать форму Микки Мауса специальной формочкой.</p>";"<p>Мощность 900 Вт. Индикатор температуры. Контейнер для теста. Готовым блинчикам можно придать форму Микки Мауса специальной формочкой.</p>";"";;"";"";;"60.00";"";;"";"10";;"";"Бытовая техника для кухни";"";"";"";"";"";;;"Active";;"92-163-thickbox.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"93";"2084407699";;"93-164-thickbox.jpg";"Аппарат для пончиков Daewoo DI 8102";"<p>Аппарат предназначен для приготовления пончиков традиционной (кольцеобразной) формы. Индикатор включения и готовности. Антипригарное покрытие. Регулировка температуры.</p>";"<p>Аппарат предназначен для приготовления пончиков традиционной (кольцеобразной) формы.</p>";"";;"";"";;"35.00";"";;"";"10";;"";"Бытовая техника для кухни";"";"";"";"";"";;;"Active";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"94";"1318211023";;"94-165-thickbox.jpg";"Автокресло Bebe Confort Opal";"<p>Автокресло с поворотным сиденьем для более продолжительного использования. Переустановка положений происходит одним движением руки, вращением автокресла на своем основании. Сиденье подходит для двух групп: 0+ - спиной к дороге и 1 - лицом к дороге. Боковая защита Safe Side предохраняет голову малыша при боковых столкновениях. Внутренние 5-точечные ремни безопасности быстро и удобно регулируются по росту ребенка. Размеры: ширина регулируется от 40 до 50 см. Высота регулируется от 60 до 76 см. Варианты цвета: Total Black, Intense Red, Deep Blue, Brown Earth, Steel Gray, Marble Pink, Dark Olive.</p>";"<p>Автокресло с поворотным сиденьем для более продолжительного использования.</p>";"";;"";"";;"483.00";"";;"";"10";;"";"Детские товары";"";"";"";"";"";;;"Active";;"94-166-thickbox.jpg";"94-167-thickbox.jpg";"94-169-thickbox.jpg";"94-170-thickbox.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"95";"613154813";;"95-172-thickbox.jpg";"Детские качели GRACO Sweetpeace";"<p>Детские качели для детей с рождения. Качели копируют движение при укачивании ребёнка на руках (в трёх разных направлениях), три положения спинки, 6 скоростей, съёмное сидение, набор различных мелодий и возможность подключения МР3 плеера, две скорости вибрации, ремни безопасности, регулируемый капор.</p>";"<p>Детские качели для детей с рождения.</p>";"";;"";"";;"348.00";"";;"";"10";;"";"Детские товары";"";"";"";"";"";;;"Active";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"96";"1095960108";;"96-173-thickbox.jpg";"Цифровой видеомонитор Philips AVENT SCD60000";"<p>Автоматический выбор канала для конфиденциального соединения. Система инфракрасного ночного видения для круглосуточного наблюдения. Успокаивающие колыбельные и ночник. Высокое разрешение, цветной экран 61 мм. Беспроводной портативный родительский блок. Цифровое подтверждение сигнала и световая индикация уровня звука. Автоматическое включение экрана с регуляторами яркости и звука. Родительский блок на аккумуляторах. Диапазон действия: 150 м. Клипса для крепления к поясу.</p>";"<p>Автоматический выбор канала для конфиденциального соединения.</p>";"";;"";"";;"350.00";"";;"";"10";;"";"Детские товары";"";"";"";"";"";;;"Active";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97";"1360727340";;"97-174-thickbox.jpg";"Стульчик для кормления Peg-Perego Prima Pappa Best";"<p>Стульчик раcсчитан на малыша до трех лет. Моющееся сидение изготовлено из кожа заменителя, корпус пластмассовый, регулируемая подножка, стопора на колесах, большая устойчивость. Пятиточечные ремни безопасности и анатомическая вставка для разделения ног удерживают ребенка в надежном и безопасном положении.</p>";"<p>Стульчик раcсчитан на малыша до трех лет.</p>";"";;"";"";;"306.00";"";;"";"10";;"";"Детские товары";"";"";"";"";"";;;"Active";;"97-175-thickbox.jpg";"97-177-thickbox.jpg";"97-178-thickbox.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"98";"72850442";;"98-179-thickbox.jpg";"Гладильная доска Metalnova Domino Plus";"<p>Компактная, устойчивая гладильная доска с регулировкой высоты гладильной платформы до восьми положений. Имеет твердую гладильную платформу из огнеупорного материала, на которую одевается влагоустойчивый и жаропрочный чехол. Ножки выполнены из хромированного металла. Рабочая поверхность: 114x36 см. Подставка для утюга. Вес:7 кг.</p>";"<p>Компактная, устойчивая гладильная доска с регулировкой высоты гладильной платформы до восьми положений.</p>";"";;"";"";;"134.00";"";;"";"10";;"";"Мебель и интерьер";"";"";"";"";"";;;"Active";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"99";"2101817514";;"99-180-thickbox.jpg";"Лампы АРО Голден S";"<p>Лампы АРО Голден S. Отличное решение для создания непринужденной и уютной обстановки в Вашем доме. Размеры: Большой лампы (L): Высота - 143 см; Диаметр - 29 см Средней лампы (M): Высота - 115 см; Диаметр - 29 см Маленькой лампы (S): Высота - 83 см; Диаметр - 26 см Страна-производитель: Индонезия</p>";"<p>Лампы АРО Голден S. Отличное решение для создания непринужденной и уютной обстановки в Вашем доме.</p>";"";;"";"";;"151.00";"";;"";"10";;"";"Мебель и интерьер";"";"";"";"";"";;;"Active";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"100";"2127895796";;"100-181-thickbox.jpg";"Детектор проводки Bosch PDO Multi";"<p>Цифровой детектор для обнаружения и локализации проводки, металлов (включая цветные) и деревянных внутренних конструкций. Функция «Zoom». Дисплей с высоким разрешением. Однозначное запрещение/разрешение сверления с помощью светодиодного индикатора. Автоматическая калибровка.</p>";"<p>Цифровой детектор для обнаружения и локализации проводки, металлов (включая цветные) и деревянных внутренних конструкций. Функция «Zoom».</p>";"";;"";"";;"123.00";"";;"";"10";;"";"Строительные инструменты";"";"";"";"";"";;;"Active";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"101";"1331499396";;"101-182-thickbox.jpg";"Оптический нивелир Bosch GOL 20 D Professional";"<p>Оптический нивелир с точность нивелирования 3 мм на 30 м. Рабочий диапазон: до 60 м. Оптимально подходит для использования вне помещений благодаря прочному корпусу с защитой от пыли и брызг IP 54. Светосильный объектив для чёткого захвата цели. Пентапризма для удобства считывания показаний сферического уровня. Коллиматор для грубого выравнивания. Вертикальное изображение. Большая кнопка фокусировки для простого выравнивания.Бесконечный микрометренный привод (измерение в гонах) с проскальзывающей муфтой.</p>";"<p>Оптический нивелир с точность нивелирования 3 мм на 30 м. Рабочий диапазон: до 60 м.</p>";"";;"";"";;"285.00";"";;"";"10";;"";"Строительные инструменты";"";"";"";"";"";;;"Active";;"101-183-thickbox.jpg";"101-184-thickbox.jpg";"101-185-thickbox.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
